,precision,recall,f1-score,support
Dryness (xerosis),1.0,1.0,1.0,1.0
Epidermolysis Bullosa Simplex,1.0,1.0,1.0,1.0
Folliculitis Decalvans,1.0,1.0,1.0,1.0
Chronic Bullous Disease of Childhood,1.0,1.0,1.0,1.0
Chromoblastomycosis,1.0,1.0,1.0,1.0
Basal Cell Carcinoma,1.0,1.0,1.0,1.0
Varicella Zoster,1.0,1.0,1.0,1.0
Psoriasis Vulgaris,1.0,1.0,1.0,1.0
Scleroderma,1.0,1.0,1.0,1.0
Sebaceous Cyst,1.0,1.0,1.0,1.0
Pityriasis lichenoides chronica,1.0,1.0,1.0,1.0
Verruca Vulgaris,1.0,1.0,1.0,2.0
Diabetic Ulcer,1.0,1.0,1.0,1.0
Darier's disease,1.0,1.0,1.0,1.0
Lichen nitidus,1.0,1.0,1.0,2.0
Lichenoid eruption,1.0,1.0,1.0,1.0
Infected Keratoderma,1.0,1.0,1.0,1.0
Mycetoma,1.0,1.0,1.0,1.0
Hidradenitis,1.0,1.0,1.0,2.0
Pemphigus vulgaris,1.0,1.0,1.0,5.0
Pellagra dermatitis,1.0,1.0,1.0,1.0
Oral Candidiasis,1.0,1.0,1.0,1.0
Xerosis vulgaris,1.0,1.0,1.0,1.0
Wart,1.0,1.0,1.0,3.0
Urticaria,0.875,1.0,0.9333333333333333,7.0
Vitiligo,0.8987341772151899,0.9594594594594594,0.9281045751633987,74.0
Onychomycosis,0.8333333333333334,1.0,0.9090909090909091,5.0
Scrotal Dermatitis,1.0,0.8333333333333334,0.9090909090909091,6.0
Palmoplantar Keratoderma,0.75,1.0,0.8571428571428571,6.0
Acrochordon,0.75,1.0,0.8571428571428571,3.0
Tinea Capitis,1.0,0.75,0.8571428571428571,4.0
Xerosis,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
Alopecia Areata,0.7333333333333333,1.0,0.8461538461538461,11.0
Acne Conglobata,0.7777777777777778,0.875,0.8235294117647058,8.0
Melasma,0.75,0.9,0.8181818181818182,10.0
Tinea Cruris,0.7228915662650602,0.9230769230769231,0.8108108108108109,65.0
